getInstallerPackageName,newselect,mprotect,getPackageInfo,create_folder,getReceiverInfo,mkdir,pwrite64,getSearchableInfo,pread64,unlink,munmap,statfs64,getActivityInfo,fdatasync,fs_pipe_access,fs_access(read),fs_pipe_access(write),fs_access,mmap2,fs_access(),pipe,fcntl64,fs_access(create__write),nanosleep,getApplicationInfo,fs_access(create__read__write),rename,access,chmod,gettid,fs_access(create),brk,device_access,queryIntentServices,network_access,stat64,fs_access(write),open,lstat64,Class
0,0,0.000644878,0.000135373,0.004285714,0,0.00307377,0,0,0.00070081,0,0.001484781,0,0,0,0.005037783,0.000127407,0,0.000357995,0.002531824,0,0.003773585,9.71E-05,0.004694836,1.70E-05,0,0,0,0.000366591,0.001908397,0.001017969,0.001123596,0.003117288,7.51E-05,0,0,0.001057138,0.024590164,0.000395883,0.000118959,3
0,0,0.000537398,0.000135373,0.004285714,0,0.00307377,0,0,0.000442617,0.006772009,0.000989854,0,0,0,0.002518892,0.000127407,0,0.000357995,0.002039525,0.006960557,0.003773585,8.10E-05,0.009389671,4.53E-05,0,0,0.008955224,0.000733183,0.003816794,0.001017969,0.001123596,0.002857514,7.51E-05,0,0,0.001321423,0.024590164,0.000443389,0.000208178,3
0,0,0.001534027,0.000135373,0.004285714,0,0.00307377,0,0,0.000295078,0,0.000954502,0,0,0,0.002518892,0.000254814,0,0.000954654,0.00291863,0,0.003773585,0.000129521,0.004694836,1.70E-05,0,0,0,0.000610986,0.001908397,0.001239267,0.001123596,0.004156384,7.51E-05,0,0,0.001057138,0.024590164,0.000601742,0.000118959,3
0,0.000502675,0.00459231,0.000676865,0.004285714,0,0.005122951,0.000539213,0,0.00094056,0.018058691,0.006186587,0,0.006896552,0.001510574,0.020151134,0.012342533,0,0.007040573,0.013819537,0.009280742,0.035849057,0.004857041,0.042253521,0.000181221,0.001227998,0.059405941,0.017910448,0.010875542,0.005089059,0.01341064,0.003370787,0.040394856,0.000450603,0,0.006004367,0.005972832,0.032786885,0.014204276,0.003717472,1
0,0,0.028003322,0.000406119,0.008571429,0,0.006147541,0.000179738,0,0.000184424,0.011286682,0.00201506,0,0.006896552,0.001510574,0.005037783,0.009205141,0,0.00477327,0.008052606,0.002320186,0.018867925,0.003157077,0.006259781,6.23E-05,0.000204666,0.059405941,0.005970149,0.002627238,0.001908397,0.015977693,0.001872659,0.023769321,0.000262852,0,0.006004367,0.003964269,0.024590164,0.010229612,0.000565056,0
0,0,0.00033221,0.000135373,0.002857143,0,0.00204918,0,0,1.84E-05,0,7.07E-05,0,0,0,0.005037783,0.000127407,0,0.000357995,0.001125255,0,0.003773585,8.10E-05,0.00312989,0,0,0,0,0.000183296,0.000636132,0.00092945,0.000749064,0.001428757,7.51E-05,0,0,0.000581426,0.024590164,0.000364212,8.92E-05,2
0.003139717,5.39E-05,0.004709561,0.001489102,0.021428571,0.210526316,0.096311475,0.004403571,0,0.003098316,0.042889391,0.005479549,0.014184397,0.020689655,0.004456193,0.005037783,0.00038222,0,0.007040573,0.008333919,0.034802784,0.005660377,0.006136062,0.034428795,0.000220863,0.000613999,0,0.044776119,0.02364514,0.017811705,0.002390015,0.008614232,0.016625536,0.000638354,0.0008285,0.000545852,0.008879962,0.028688525,0.002897862,0.000654275,0
0,0,0.001494944,0.000135373,0.004285714,0,0.00307377,0,0,0.000295078,0,0.000954502,0,0,0,0.002518892,0.000254814,0,0.000954654,0.00291863,0,0.003773585,0.000129521,0.004694836,1.70E-05,0,0,0,0.000610986,0.001908397,0.001239267,0.001123596,0.004156384,7.51E-05,0,0,0.001057138,0.024590164,0.000601742,0.000118959,3
0,0,0.001846695,0.000406119,0.004285714,0,0.00307377,0,0,0.000331962,0,0.001414077,0,0,0,0.002518892,0.000398146,0,0.002505967,0.004008721,0,0.003773585,0.000161901,0.00312989,2.83E-05,0.000409333,0,0,0.000672084,0.001272265,0.001416305,0.001123596,0.008572542,7.51E-05,0,0,0.001427137,0.024590164,0.000934283,0.000208178,1
0,0,0.001465631,0.000135373,0.004285714,0,0.00307377,0,0,1.84E-05,0,0.000212112,0,0,0,0.002518892,0.000557405,0,0.001193317,0.001476897,0,0.003773585,0.000663796,0.004694836,2.27E-05,0,0,0,0.000366591,0.001908397,0.001239267,0.001123596,0.003117288,7.51E-05,0,0,0.001744278,0.024590164,0.000934283,0.000118959,2
0,0,0.003449118,0.000135373,0.002857143,0,0.00204918,0,0,0.002950777,0,0.006363347,0,0,0,0.002518892,0.000222962,0,0.001789976,0.008580069,0,0.003773585,0.000242852,0.00312989,6.23E-05,0,0,0,0.000305493,0.000636132,0.001150748,0.000749064,0.009741525,7.51E-05,0,0,0.001849992,0.024590164,0.000649248,8.92E-05,2
0,0,0.001211588,0.000135373,0.004285714,0,0.00307377,0,0,0.000516386,0,0.001449429,0,0,0,0.002518892,0.000222962,0,0.000954654,0.003410929,0,0.003773585,0.000145711,0.004694836,1.70E-05,0,0,0,0.000549887,0.001908397,0.001195008,0.001123596,0.007663333,7.51E-05,0,0,0.001427137,0.024590164,0.000570071,0.000118959,0
0,0,0.000566711,0.000135373,0.004285714,0,0.00307377,0,0,1.84E-05,0,0.000106056,0,0,0,0.005037783,0.000159258,0,0.000477327,0.001265912,0,0.003773585,8.10E-05,0.00312989,0,0,0,0,0.000488788,0.001272265,0.00092945,0.000749064,0.002208079,7.51E-05,0,0,0.000951424,0.024590164,0.000411718,8.92E-05,4
0,0,0.005950462,0.00230134,0.015714286,0,0.012295082,0.00071895,0,0.00094056,0.099322799,0.011418673,0.028368794,0,0.002265861,0.007556675,0.018043987,0,0.017303103,0.021555665,0.088167053,0.020754717,0.005164654,0.090766823,0.000373768,0.001841998,0.089108911,0.11641791,0.015152441,0.030534351,0.021864212,0.003370787,0.055201974,0.001389358,0,0.005458515,0.01971563,0.036885246,0.022169438,0.002855019,0
0,0,0.004660706,0.000406119,0.007142857,0,0.005122951,3.00E-05,0,0.000534828,0.004514673,0.006575459,0,0.013793103,0.000377644,0.002518892,0.018028061,0,0.006085919,0.01234264,0,0.016981132,0.001473302,0.020344288,0.000220863,0.000204666,0.01980198,0.002985075,0.001344168,0.001272265,0.013897495,0.001498127,0.071307962,0.001276708,0,0.005458515,0.00290713,0.024590164,0.019667458,0.000386617,3
0,0,0.002247301,0.000135373,0.004285714,0,0.00307377,0,0,9.22E-05,0.015801354,0.000424223,0,0,0,0.002518892,0.000159258,0,0.000477327,0.002742809,0.016241299,0.005660377,0.000647605,0.015649452,0.00138181,0,0,0.020895522,0.001344168,0.006361323,0.002390015,0.001123596,0.004805819,7.51E-05,0,0,0.002801417,0.028688525,0.000570071,0.000327138,2
0,0.000107716,0.002853095,0.000135373,0.004285714,0,0.00307377,0,0,0.000866791,0.011286682,0.003287729,0,0,0,0.012594458,0.000350369,0,0.000954654,0.005696603,0.011600928,0.011320755,0.000566655,0.012519562,0.000118926,0,0,0.014925373,0.002382844,0.005089059,0.002124458,0.001123596,0.015326666,7.51E-05,0,0,0.007558539,0.028688525,0.000791766,0.000267658,3
0,0,0.00055694,0.000135373,0.004285714,0,0.00307377,0,0,0.000442617,0.006772009,0.000989854,0,0,0,0.002518892,0.000127407,0,0.000357995,0.002039525,0.006960557,0.003773585,8.10E-05,0.009389671,5.66E-06,0,0,0.008955224,0.000733183,0.003816794,0.001017969,0.001123596,0.002727627,7.51E-05,0,0,0.001321423,0.024590164,0.000443389,0.000208178,3
